Player,Cluster
Aaron Gordon,4
Aaron Nesmith,4
Al Horford,4
Alex Sarr,1
Alperen Şengün,3
Amen Thompson,1
Amir Coffey,4
Andrew Nembhard,4
Andrew Wiggins,2
Anfernee Simons,2
Anthony Black,4
Anthony Davis,3
Anthony Edwards,7
Austin Reaves,7
Ayo Dosunmu,4
Bam Adebayo,3
Bennedict Mathurin,6
Bilal Coulibaly,4
Bobby Portis,4
Bogdan Bogdanović,4
Bradley Beal,4
Brandin Podziemski,4
Brook Lopez,1
Bub Carrington,2
CJ McCollum,2
Cade Cunningham,7
Caleb Martin,4
Cameron Johnson,2
Caris LeVert,4
Cason Wallace,4
Chris Paul,2
Christian Braun,6
Coby White,7
Collin Sexton,2
Corey Kispert,4
D'Angelo Russell,4
Damian Lillard,7
Darius Garland,7
Davion Mitchell,4
De'Aaron Fox,6
De'Andre Hunter,2
DeMar DeRozan,6
Deni Avdija,6
Dennis Schröder,2
Derrick Jones Jr.,4
Derrick White,2
Desmond Bane,6
Devin Booker,7
Devin Vassell,2
Dillon Brooks,2
Domantas Sabonis,3
Donovan Mitchell,7
Donte DiVincenzo,4
Dorian Finney-Smith,4
Draymond Green,1
Duncan Robinson,4
Dyson Daniels,6
Evan Mobley,3
Franz Wagner,6
Fred VanVleet,2
Gary Trent Jr.,4
Giannis Antetokounmpo,5
Gradey Dick,4
Grayson Allen,4
Guerschon Yabusele,4
Harrison Barnes,4
Haywood Highsmith,4
Isaiah Collier,4
Isaiah Hartenstein,1
Ivica Zubac,3
Ja Morant,6
Jabari Smith Jr.,4
Jaden McDaniels,1
Jakob Poeltl,1
Jalen Brunson,7
Jalen Duren,3
Jalen Green,7
Jalen Williams,6
Jalen Wilson,4
Jamal Murray,6
James Harden,7
Jaren Jackson Jr.,6
Jarrett Allen,3
Jaylen Brown,6
Jaylen Wells,4
Jayson Tatum,7
Jerami Grant,4
Jeremy Sochan,4
Jimmy Butler,6
Jonathan Kuminga,4
Jordan Poole,2
Jose Alvarado,4
Josh Giddey,6
Josh Green,4
Josh Hart,3
Jrue Holiday,4
Julius Randle,6
Justin Edwards,4
Karl-Anthony Towns,3
Keegan Murray,1
Kelly Oubre Jr.,1
Kentavious Caldwell-Pope,4
Keon Ellis,4
Keon Johnson,2
Kevin Durant,6
Kevin Huerter,4
Keyonte George,2
Klay Thompson,2
Kris Dunn,4
Kristaps Porziņģis,4
Kyle Kuzma,2
Kyrie Irving,2
Kyshawn George,4
LaMelo Ball,2
Lauri Markkanen,4
LeBron James,7
Luguentz Dort,4
Luka Dončić,7
Malik Beasley,2
Malik Monk,2
Mark Williams,1
Max Christie,4
Max Strus,4
Michael Porter Jr.,6
Mikal Bridges,6
Mike Conley,4
Miles Bridges,6
Miles McBride,4
Myles Turner,1
Naji Marshall,4
Naz Reid,1
Nic Claxton,1
Nickeil Alexander-Walker,4
Nikola Jokić,5
Nikola Jović,4
Nikola Vučević,3
Norman Powell,2
OG Anunoby,6
Ochai Agbaji,4
Onyeka Okongwu,1
P.J. Washington,1
Paolo Banchero,6
Pascal Siakam,6
Patrick Williams,4
Paul George,4
Payton Pritchard,2
Peyton Watson,4
Quentin Grimes,2
RJ Barrett,6
Royce O'Neale,4
Rudy Gobert,3
Rui Hachimura,4
Russell Westbrook,6
Santi Aldama,4
Scoot Henderson,2
Scottie Barnes,6
Shaedon Sharpe,6
Shai Gilgeous-Alexander,7
Spencer Dinwiddie,2
Stephen Curry,7
Stephon Castle,6
Tari Eason,1
Taurean Prince,4
Terry Rozier,4
Tim Hardaway Jr.,4
Tobias Harris,1
Toumani Camara,1
Trae Young,7
Trey Murphy III,2
Tyler Herro,7
Tyrese Haliburton,2
Tyrese Maxey,2
Tyus Jones,4
Victor Wembanyama,1
Walker Kessler,1
Wendell Carter Jr.,1
Yves Missi,1
Zaccharie Risacher,4
Zach LaVine,7
Ziaire Williams,4
