Player,Previous_Season_Archetype,New_Season_Archetype,Changed Archetype?,Previous_Cluster,New_Cluster,Key Statistical Changes,Notes / Interpretation
Amen Thompson,Defensive Rim Protectors,Interior Bigs,TRUE,1,3,BLK down 1.38 z; 2PA up 1.37 z; FT up 1.25 z; 2P up 1.24 z; FGA up 1.20 z,Archetype changed; biggest standardized shifts: BLK down 1.38 z; 2PA up 1.37 z; FT up 1.25 z; 2P up 1.24 z; FGA up 1.20 z
Andrew Nembhard,Low-Usage Role Players,Perimeter Shooters and Secondary Guards,TRUE,4,2,STL down 1.08 z; 3P up 0.91 z; FT up 0.82 z; AST up 0.78 z; FTA up 0.77 z,Archetype changed; biggest standardized shifts: STL down 1.08 z; 3P up 0.91 z; FT up 0.82 z; AST up 0.78 z; FTA up 0.77 z
Andrew Wiggins,Perimeter Shooters and Secondary Guards,Defensive Rim Protectors,TRUE,2,1,PF up 1.39 z; FTA down 0.74 z; FT down 0.64 z; BLK up 0.60 z; STL up 0.58 z,Archetype changed; biggest standardized shifts: PF up 1.39 z; FTA down 0.74 z; FT down 0.64 z; BLK up 0.60 z; STL up 0.58 z
Anfernee Simons,Perimeter Shooters and Secondary Guards,Low-Usage Role Players,TRUE,2,4,FGA down 1.65 z; AST down 1.41 z; TOV down 1.34 z; FG down 1.33 z; 3PA down 1.33 z,Archetype changed; biggest standardized shifts: FGA down 1.65 z; AST down 1.41 z; TOV down 1.34 z; FG down 1.33 z; 3PA down 1.33 z
Anthony Black,Low-Usage Role Players,Perimeter Shooters and Secondary Guards,TRUE,4,2,3PA up 0.66 z; 3P up 0.64 z; FG up 0.58 z; FGA up 0.53 z; 2P up 0.32 z,Archetype changed; biggest standardized shifts: 3PA up 0.66 z; 3P up 0.64 z; FG up 0.58 z; FGA up 0.53 z; 2P up 0.32 z
Austin Reaves,Primary Shot Creators,Perimeter Shooters and Secondary Guards,TRUE,7,2,3P down 1.31 z; 3PA down 1.27 z; PF down 0.98 z; STL down 0.97 z; AST down 0.97 z,Archetype changed; biggest standardized shifts: 3P down 1.31 z; 3PA down 1.27 z; PF down 0.98 z; STL down 0.97 z; AST down 0.97 z
Ayo Dosunmu,Low-Usage Role Players,Perimeter Shooters and Secondary Guards,TRUE,4,2,FG up 1.14 z; FGA up 1.02 z; 3P up 0.98 z; 2PA up 0.90 z; 2P up 0.77 z,Archetype changed; biggest standardized shifts: FG up 1.14 z; FGA up 1.02 z; 3P up 0.98 z; 2PA up 0.90 z; 2P up 0.77 z
Bennedict Mathurin,Versatile Two-Way Forwards,Perimeter Shooters and Secondary Guards,TRUE,6,2,FG down 0.69 z; PF down 0.68 z; FGA down 0.62 z; 2P down 0.57 z; ORB down 0.56 z,Archetype changed; biggest standardized shifts: FG down 0.69 z; PF down 0.68 z; FGA down 0.62 z; 2P down 0.57 z; ORB down 0.56 z
Brandin Podziemski,Low-Usage Role Players,Perimeter Shooters and Secondary Guards,TRUE,4,2,FTA up 1.13 z; PF up 1.12 z; FT up 1.11 z; TOV up 0.97 z; FGA up 0.83 z,Archetype changed; biggest standardized shifts: FTA up 1.13 z; PF up 1.12 z; FT up 1.11 z; TOV up 0.97 z; FGA up 0.83 z
Cameron Johnson,Perimeter Shooters and Secondary Guards,Low-Usage Role Players,TRUE,2,4,FT down 1.04 z; 3PA down 0.96 z; FGA down 0.94 z; FG down 0.88 z; FTA down 0.88 z,Archetype changed; biggest standardized shifts: FT down 1.04 z; 3PA down 0.96 z; FGA down 0.94 z; FG down 0.88 z; FTA down 0.88 z
Christian Braun,Versatile Two-Way Forwards,Low-Usage Role Players,TRUE,6,4,STL down 2.12 z; FG down 1.89 z; PF down 1.73 z; 2P down 1.71 z; 2PA down 1.51 z,Archetype changed; biggest standardized shifts: STL down 2.12 z; FG down 1.89 z; PF down 1.73 z; 2P down 1.71 z; 2PA down 1.51 z
Coby White,Primary Shot Creators,Low-Usage Role Players,TRUE,7,4,STL down 1.72 z; FGA down 1.72 z; 3PA down 1.64 z; 3P down 1.60 z; FG down 1.57 z,Archetype changed; biggest standardized shifts: STL down 1.72 z; FGA down 1.72 z; 3PA down 1.64 z; 3P down 1.60 z; FG down 1.57 z
