Cluster,stat,z,abs_z
1,BLK,1.5018045424057869,1.5018045424057869
1,ORB,1.045082718650305,1.045082718650305
1,TRB,0.7999895202271772,0.7999895202271772
1,3P,-0.7677333446634436,0.7677333446634436
2,3PA,0.7596994007304931,0.7596994007304931
3,TRB,2.4909809154899856,2.4909809154899856
3,DRB,2.3526833169700834,2.3526833169700834
3,ORB,2.3427197504570505,2.3427197504570505
3,2P,1.4092511909650607,1.4092511909650607
3,3PA,-1.1824949365273825,1.1824949365273825
3,2PA,1.1774933956892564,1.1774933956892564
3,BLK,1.0986197924584176,1.0986197924584176
3,3P,-1.0916013862196825,1.0916013862196825
3,PF,1.0284309387843042,1.0284309387843042
3,FG,0.827018993908556,0.827018993908556
4,FG,-0.9017925582187528,0.9017925582187528
4,2PA,-0.878752191670744,0.878752191670744
4,FGA,-0.868491124171117,0.868491124171117
4,2P,-0.8565939266280943,0.8565939266280943
4,FTA,-0.7860511118197283,0.7860511118197283
4,FT,-0.761210999853918,0.761210999853918
4,TOV,-0.7597327585675502,0.7597327585675502
5,Trp-Dbl,7.054039661065524,7.054039661065524
5,2P,3.4213719771946174,3.4213719771946174
5,DRB,3.079330427230742,3.079330427230742
5,FTA,2.9584411274772537,2.9584411274772537
5,2PA,2.9207420365602603,2.9207420365602603
5,FG,2.8442646839023853,2.8442646839023853
5,TRB,2.7681033225252034,2.7681033225252034
5,AST,2.2702929374279295,2.2702929374279295
5,FT,2.247564242440036,2.247564242440036
5,FGA,1.8629842667601955,1.8629842667601955
5,TOV,1.7078756515091933,1.7078756515091933
5,ORB,1.581796996863717,1.581796996863717
5,STL,0.9811312698867357,0.9811312698867357
5,3PA,-0.8578119926088925,0.8578119926088925
5,BLK,0.7944716955529831,0.7944716955529831
6,2PA,0.9079490680251683,0.9079490680251683
6,2P,0.8378227404867874,0.8378227404867874
7,FT,1.762450089911131,1.762450089911131
7,FGA,1.7223046753761184,1.7223046753761184
7,TOV,1.6987468574484594,1.6987468574484594
7,FTA,1.5833877981490247,1.5833877981490247
7,AST,1.5385626878999172,1.5385626878999172
7,FG,1.533725171724786,1.533725171724786
7,3PA,1.5087513739931648,1.5087513739931648
7,3P,1.4676974781398309,1.4676974781398309
7,2PA,1.1008552201463204,1.1008552201463204
7,2P,0.9659191783120727,0.9659191783120727
