Player,Team,Pos,New Season Archetype,Cluster,Key Stats Driving Assignment
Ausar Thompson,DET,SF,Defensive Rim Protectors,1,STL above baseline by 3.08 z; 3PA below baseline by 1.95 z; 3P below baseline by 1.82 z; PF above baseline by 1.42 z; ORB above baseline by 1.24 z
Chet Holmgren,OKC,PF,Defensive Rim Protectors,1,BLK above baseline by 3.10 z; DRB above baseline by 1.63 z; TRB above baseline by 1.47 z; STL below baseline by 1.02 z; AST below baseline by 0.89 z
Deandre Ayton,LAL,C,Defensive Rim Protectors,1,3PA below baseline by 2.08 z; 3P below baseline by 1.93 z; ORB above baseline by 1.81 z; AST below baseline by 1.30 z; TRB above baseline by 1.26 z
Jake LaRavia,LAL,PF,Defensive Rim Protectors,1,STL above baseline by 1.53 z; PF above baseline by 1.41 z; FGA below baseline by 0.96 z; FG below baseline by 0.96 z; 2PA below baseline by 0.82 z
John Collins,LAC,PF,Defensive Rim Protectors,1,AST below baseline by 1.22 z; PF above baseline by 1.14 z; 3PA below baseline by 0.71 z; 3P below baseline by 0.52 z; ORB above baseline by 0.51 z
Matas Buzelis,CHI,PF,Defensive Rim Protectors,1,BLK above baseline by 2.59 z; 3PA above baseline by 0.98 z; PF above baseline by 0.91 z; DRB above baseline by 0.75 z; 3P above baseline by 0.74 z
Maxime Raynaud,SAC,C,Defensive Rim Protectors,1,3PA below baseline by 1.62 z; 3P below baseline by 1.58 z; STL below baseline by 1.19 z; TRB above baseline by 1.14 z; DRB above baseline by 1.10 z
Moussa Diabaté,CHO,C,Defensive Rim Protectors,1,ORB above baseline by 3.22 z; 3PA below baseline by 2.08 z; 3P below baseline by 1.93 z; TRB above baseline by 1.59 z; FGA below baseline by 1.52 z
Neemias Queta,BOS,C,Defensive Rim Protectors,1,ORB above baseline by 2.51 z; 3PA below baseline by 2.03 z; BLK above baseline by 2.03 z; 3P below baseline by 1.93 z; PF above baseline by 1.81 z
Derik Queen,NOP,C,Interior Bigs,3,PF above baseline by 1.96 z; 3P below baseline by 1.55 z; 3PA below baseline by 1.53 z; DRB above baseline by 1.27 z; TRB above baseline by 1.25 z
Donovan Clingan,POR,C,Interior Bigs,3,ORB above baseline by 4.51 z; BLK above baseline by 3.10 z; TRB above baseline by 3.04 z; DRB above baseline by 2.12 z; PF above baseline by 1.11 z
A.J. Green,MIL,SG,Low-Usage Role Players,4,3P above baseline by 1.76 z; 2PA below baseline by 1.75 z; 2P below baseline by 1.67 z; 3PA above baseline by 1.36 z; FTA below baseline by 1.13 z
Ajay Mitchell,OKC,SG,Low-Usage Role Players,4,3PA below baseline by 0.98 z; DRB below baseline by 0.96 z; 3P below baseline by 0.94 z; TRB below baseline by 0.92 z; FGA below baseline by 0.73 z
Bruce Brown,DEN,SG,Low-Usage Role Players,4,PF above baseline by 1.41 z; 3PA below baseline by 1.16 z; 3P below baseline by 1.03 z; FGA below baseline by 0.96 z; FG below baseline by 0.91 z
Cedric Coward,MEM,SG,Low-Usage Role Players,4,STL below baseline by 1.18 z; FGA below baseline by 0.53 z; FG below baseline by 0.51 z; AST below baseline by 0.50 z; 3P below baseline by 0.46 z
Cody Williams,UTA,SG,Low-Usage Role Players,4,3P below baseline by 1.51 z; 3PA below baseline by 1.25 z; DRB below baseline by 1.06 z; FGA below baseline by 1.02 z; FG below baseline by 0.94 z
Egor Dёmin,BRK,PG,Low-Usage Role Players,4,2PA below baseline by 1.48 z; 2P below baseline by 1.47 z; FG below baseline by 1.38 z; FGA below baseline by 1.23 z; PF below baseline by 1.19 z
Herbert Jones,NOP,SF,Low-Usage Role Players,4,FG below baseline by 1.33 z; 2P below baseline by 1.15 z; FTA below baseline by 1.14 z; FGA below baseline by 1.13 z; FT below baseline by 1.08 z
Isaac Okoro,CHI,SG,Low-Usage Role Players,4,TOV below baseline by 1.31 z; DRB below baseline by 1.27 z; FGA below baseline by 1.19 z; FG below baseline by 1.17 z; TRB below baseline by 1.02 z
