Player,Team,Pos,Age,G,MP,Cluster,Archetype
A.J. Green,MIL,SG,26,78,2269.8,4,Low-Usage Role Players
Aaron Nesmith,IND,SF,26,45,1336.5,4,Low-Usage Role Players
Ace Bailey,UTA,SF,19,72,1987.2,2,Perimeter Shooters and Secondary Guards
Ajay Mitchell,OKC,SG,23,57,1470.6,4,Low-Usage Role Players
Alex Sarr,WAS,C,20,48,1305.6,1,Defensive Rim Protectors
Alperen Şengün,HOU,C,23,72,2397.6,3,Interior Bigs
Amen Thompson,HOU,PG,23,79,2954.6,3,Interior Bigs
Andrew Nembhard,IND,PG,26,57,1784.1,2,Perimeter Shooters and Secondary Guards
Andrew Wiggins,MIA,SF,30,68,2060.4,1,Defensive Rim Protectors
Anfernee Simons,2TM,SG,26,55,1369.5,4,Low-Usage Role Players
Anthony Black,ORL,PG,22,64,1907.2,2,Perimeter Shooters and Secondary Guards
Anthony Edwards,MIN,SG,24,61,2135,7,Primary Shot Creators
Ausar Thompson,DET,SF,23,73,1898,1,Defensive Rim Protectors
Austin Reaves,LAL,SG,27,51,1759.5,2,Perimeter Shooters and Secondary Guards
Ayo Dosunmu,2TM,SG,26,69,1883.7,2,Perimeter Shooters and Secondary Guards
Bam Adebayo,MIA,C,28,73,2365.2,3,Interior Bigs
Bennedict Mathurin,2TM,SF,23,54,1620,2,Perimeter Shooters and Secondary Guards
Bilal Coulibaly,WAS,SG,21,56,1467.2,4,Low-Usage Role Players
Bobby Portis,MIL,PF,30,67,1621.4,4,Low-Usage Role Players
Brandin Podziemski,GSW,SG,22,82,2337,2,Perimeter Shooters and Secondary Guards
Brandon Ingram,TOR,SF,28,77,2602.6,6,Versatile Two-Way Forwards
Brandon Miller,CHO,SF,23,65,1969.5,2,Perimeter Shooters and Secondary Guards
Bruce Brown,DEN,SG,29,82,2000.8,4,Low-Usage Role Players
Bub Carrington,WAS,PG,20,82,2271.4,2,Perimeter Shooters and Secondary Guards
CJ McCollum,2TM,PG,34,76,2264.8,2,Perimeter Shooters and Secondary Guards
Cade Cunningham,DET,PG,24,64,2169.6,7,Primary Shot Creators
Cameron Johnson,DEN,SF,29,54,1647,4,Low-Usage Role Players
Cason Wallace,OKC,SG,22,77,2048.2000000000003,4,Low-Usage Role Players
Cedric Coward,MEM,SG,22,62,1599.6,4,Low-Usage Role Players
Chet Holmgren,OKC,PF,23,69,1994.1,1,Defensive Rim Protectors
Christian Braun,DEN,SG,24,44,1399.2,4,Low-Usage Role Players
Coby White,2TM,SG,25,50,1250,4,Low-Usage Role Players
Cody Williams,UTA,SG,21,67,1628.1,4,Low-Usage Role Players
Collin Gillespie,PHO,PG,26,80,2280,2,Perimeter Shooters and Secondary Guards
Cooper Flagg,DAL,SF,19,70,2345,6,Versatile Two-Way Forwards
Darius Garland,2TM,PG,26,45,1345.5,4,Low-Usage Role Players
Davion Mitchell,MIA,PG,27,70,2002,4,Low-Usage Role Players
De'Aaron Fox,SAS,PG,28,72,2232,6,Versatile Two-Way Forwards
De'Andre Hunter,2TM,SF,28,45,1174.5,4,Low-Usage Role Players
DeMar DeRozan,SAC,PF,36,77,2402.4,6,Versatile Two-Way Forwards
Deandre Ayton,LAL,C,27,72,1958.4,1,Defensive Rim Protectors
Deni Avdija,POR,SF,25,66,2197.7999999999997,7,Primary Shot Creators
Dennis Schröder,2TM,PG,32,70,1694,4,Low-Usage Role Players
Derik Queen,NOP,C,21,81,2025,3,Interior Bigs
Derrick Jones Jr.,LAC,SF,28,50,1350,4,Low-Usage Role Players
Derrick White,BOS,SG,31,77,2625.7000000000003,2,Perimeter Shooters and Secondary Guards
Desmond Bane,ORL,SG,27,82,2755.2000000000003,6,Versatile Two-Way Forwards
Devin Booker,PHO,SG,29,64,2144,7,Primary Shot Creators
Devin Vassell,SAS,SG,25,67,2043.5,4,Low-Usage Role Players
Dillon Brooks,PHO,SF,30,56,1702.4,2,Perimeter Shooters and Secondary Guards
Donovan Clingan,POR,C,21,77,2094.4,3,Interior Bigs
Donovan Mitchell,CLE,SG,29,70,2345,7,Primary Shot Creators
Donte DiVincenzo,MIN,SG,29,82,2492.7999999999997,2,Perimeter Shooters and Secondary Guards
Draymond Green,GSW,PF,35,68,1870,4,Low-Usage Role Players
Duncan Robinson,DET,SG,31,77,2109.7999999999997,2,Perimeter Shooters and Secondary Guards
Dyson Daniels,ATL,SG,22,76,2523.2000000000003,6,Versatile Two-Way Forwards
Egor Dёmin,BRK,PG,19,52,1310.4,4,Low-Usage Role Players
Evan Mobley,CLE,PF,24,65,2073.5,1,Defensive Rim Protectors
Grayson Allen,PHO,SG,30,51,1468.8,4,Low-Usage Role Players
Harrison Barnes,SAS,PF,33,77,1986.6,4,Low-Usage Role Players
Herbert Jones,NOP,SF,27,56,1590.4,4,Low-Usage Role Players
Immanuel Quickley,TOR,PG,26,70,2233,2,Perimeter Shooters and Secondary Guards
Isaac Okoro,CHI,SG,25,63,1694.6999999999998,4,Low-Usage Role Players
Isaiah Collier,UTA,PG,21,59,1516.3,4,Low-Usage Role Players
Isaiah Hartenstein,OKC,C,27,47,1137.4,1,Defensive Rim Protectors
Ivica Zubac,2TM,C,28,48,1444.8000000000002,1,Defensive Rim Protectors
Jabari Smith Jr.,HOU,PF,22,77,2702.7000000000003,1,Defensive Rim Protectors
Jaden McDaniels,MIN,PF,25,73,2314.1,1,Defensive Rim Protectors
Jaime Jaquez Jr.,MIA,SF,24,75,2122.5,6,Versatile Two-Way Forwards
Jake LaRavia,LAL,PF,24,82,2058.2000000000003,1,Defensive Rim Protectors
Jakob Poeltl,TOR,C,30,46,1150,4,Low-Usage Role Players
Jalen Brunson,NYK,PG,29,74,2590,7,Primary Shot Creators
Jalen Duren,DET,C,22,70,1974,3,Interior Bigs
Jalen Johnson,ATL,SF,24,72,2534.4,7,Primary Shot Creators
Jalen Suggs,ORL,PG,24,57,1573.2,2,Perimeter Shooters and Secondary Guards
Jamal Murray,DEN,PG,28,75,2655,7,Primary Shot Creators
James Harden,2TM,PG,36,70,2436,7,Primary Shot Creators
Jarace Walker,IND,PF,22,76,1953.2,2,Perimeter Shooters and Secondary Guards
Jaren Jackson Jr.,2TM,C,26,48,1454.4,1,Defensive Rim Protectors
Jarrett Allen,CLE,C,27,56,1517.6,1,Defensive Rim Protectors
