Player,Team,Pos,Age,G,MP
Aaron Gordon,DEN,PF,29,51,1447
Aaron Nesmith,IND,SF,25,45,1123
Al Horford,BOS,C,38,60,1659
Alex Sarr,WAS,C,19,67,1814
Alperen Şengün,HOU,C,22,76,2395
Amen Thompson,HOU,SF,22,69,2225
Amir Coffey,LAC,SG,27,72,1748
Andrew Nembhard,IND,SG,25,65,1881
Andrew Wiggins,2TM,SF,29,60,1842
Anfernee Simons,POR,SG,25,70,2292
Anthony Black,ORL,PG,21,78,1887
Anthony Davis,2TM,C,31,51,1706
Anthony Edwards,MIN,SG,23,79,2871
Austin Reaves,LAL,SG,26,73,2550
Ayo Dosunmu,CHI,SG,25,46,1394
Bam Adebayo,MIA,C,27,78,2674
Bennedict Mathurin,IND,SF,22,72,2149
Bilal Coulibaly,WAS,SF,20,59,1948
Bobby Portis,MIL,PF,29,49,1244
Bogdan Bogdanović,2TM,SG,32,54,1348
Bradley Beal,PHO,SG,31,53,1702
Brandin Podziemski,GSW,SG,21,64,1716
Brook Lopez,MIL,C,36,80,2546
Bub Carrington,WAS,PG,19,82,2458
CJ McCollum,NOP,PG,33,56,1832
Cade Cunningham,DET,PG,23,70,2452
Caleb Martin,2TM,SF,29,45,1218
Cameron Johnson,BRK,PF,28,57,1800
Caris LeVert,2TM,SG,30,64,1596
Cason Wallace,OKC,SG,21,68,1876
Chris Paul,SAS,PG,39,82,2292
Christian Braun,DEN,SG,23,79,2675
Coby White,CHI,SG,24,74,2450
Collin Sexton,UTA,SG,26,63,1758
Corey Kispert,WAS,SF,25,61,1602
D'Angelo Russell,2TM,PG,28,58,1480
Damian Lillard,MIL,PG,34,58,2093
Darius Garland,CLE,PG,25,75,2301
Davion Mitchell,2TM,PG,26,74,2027
De'Aaron Fox,2TM,PG,27,62,2241
De'Andre Hunter,2TM,SF,27,64,1740
DeMar DeRozan,SAC,SF,35,77,2768
Deni Avdija,POR,SF,24,72,2161
Dennis Schröder,3TM,PG,31,75,2105
Derrick Jones Jr.,LAC,SF,27,77,1873
Derrick White,BOS,SG,30,76,2574
Desmond Bane,MEM,SG,26,69,2205
Devin Booker,PHO,SG,28,75,2795
Devin Vassell,SAS,SG,24,64,1983
Dillon Brooks,HOU,SF,29,75,2388
Domantas Sabonis,SAC,C,28,70,2429
Donovan Mitchell,CLE,SG,28,71,2232
Donte DiVincenzo,MIN,SG,28,62,1606
Dorian Finney-Smith,2TM,PF,31,63,1818
Draymond Green,GSW,PF,34,68,1983
Duncan Robinson,MIA,SF,30,74,1785
Dyson Daniels,ATL,SG,21,76,2571
Evan Mobley,CLE,PF,23,71,2167
Franz Wagner,ORL,SF,23,60,2023
Fred VanVleet,HOU,PG,30,60,2111
Gary Trent Jr.,MIL,SG,26,74,1893
Giannis Antetokounmpo,MIL,PF,30,67,2289
Gradey Dick,TOR,SG,21,54,1587
Grayson Allen,PHO,SG,29,64,1544
Guerschon Yabusele,PHI,C,29,70,1895
Harrison Barnes,SAS,PF,32,82,2230
Haywood Highsmith,MIA,SF,28,74,1818
Isaiah Collier,UTA,PG,20,71,1839
Isaiah Hartenstein,OKC,C,26,57,1590
Ivica Zubac,LAC,C,27,80,2624
Ja Morant,MEM,PG,25,50,1519
Jabari Smith Jr.,HOU,PF,21,57,1716
Jaden McDaniels,MIN,PF,24,82,2614
Jakob Poeltl,TOR,C,29,57,1686
Jalen Brunson,NYK,PG,28,65,2301
Jalen Duren,DET,C,21,78,2034
Jalen Green,HOU,SG,22,82,2697
Jalen Williams,OKC,SG,23,69,2237
Jalen Wilson,BRK,PF,24,79,2031
Jamal Murray,DEN,PG,27,67,2418
James Harden,LAC,PG,35,79,2789
Jaren Jackson Jr.,MEM,C,25,74,2207
Jarrett Allen,CLE,C,26,82,2296
Jaylen Brown,BOS,SF,28,63,2158
Jaylen Wells,MEM,SG,21,79,2043
Jayson Tatum,BOS,PF,26,72,2624
Jerami Grant,POR,PF,30,47,1524
Jeremy Sochan,SAS,PF,21,54,1364
Jimmy Butler,2TM,SF,35,55,1746
Jonathan Kuminga,GSW,PF,22,47,1144
Jordan Poole,WAS,SG,25,68,2001
Jose Alvarado,NOP,PG,26,56,1366
Josh Giddey,CHI,PG,22,70,2117
Josh Green,CHO,SG,24,68,1887
Josh Hart,NYK,SG,29,77,2897
Jrue Holiday,BOS,PG,34,62,1896
Julius Randle,MIN,PF,30,69,2226
Justin Edwards,PHI,SF,21,44,1155
Karl-Anthony Towns,NYK,C,29,72,2517
Keegan Murray,SAC,PF,24,76,2610
Kelly Oubre Jr.,PHI,SF,29,60,2078
Kentavious Caldwell-Pope,ORL,SG,31,77,2279
Keon Ellis,SAC,SG,25,80,1948
Keon Johnson,BRK,SG,22,79,1925
Kevin Durant,PHO,PF,36,62,2265
Kevin Huerter,2TM,SG,26,69,1679
Keyonte George,UTA,PG,21,67,2109
Klay Thompson,DAL,SF,34,72,1965
Kris Dunn,LAC,PG,30,74,1783
Kristaps Porziņģis,BOS,C,29,42,1210
Kyle Kuzma,2TM,PF,29,65,1936
Kyrie Irving,DAL,SG,32,50,1804
Kyshawn George,WAS,SG,21,68,1802
LaMelo Ball,CHO,PG,23,47,1505
Lauri Markkanen,UTA,PF,27,47,1476
LeBron James,LAL,SF,40,70,2444
Luguentz Dort,OKC,SF,25,71,2073
Luka Dončić,2TM,PG,25,50,1769
Malik Beasley,DET,SG,28,82,2283
Malik Monk,SAC,SG,26,65,2054
Mark Williams,CHO,C,23,44,1171
Max Christie,2TM,SG,21,78,2127
Max Strus,CLE,SF,28,50,1273
Michael Porter Jr.,DEN,SF,26,77,2593
Mikal Bridges,NYK,SF,28,82,3036
Mike Conley,MIN,PG,37,71,1756
Miles Bridges,CHO,PF,26,64,2029
Miles McBride,NYK,PG,24,64,1593
Myles Turner,IND,C,28,72,2174
Naji Marshall,DAL,SF,27,69,1919
Naz Reid,MIN,C,25,80,2200
Nic Claxton,BRK,C,25,70,1882
Nickeil Alexander-Walker,MIN,SG,26,82,2073
Nikola Jokić,DEN,C,29,70,2571
Nikola Jović,MIA,PF,21,46,1156
Nikola Vučević,CHI,C,34,73,2278
Norman Powell,LAC,SG,31,60,1958
